root     pts/0        117.70.158.138   Thu May 13 15:14 - 15:14  (00:00)
root     pts/0        117.70.152.212   Fri May  7 23:02 - 01:16  (02:13)
root     pts/0        36.59.38.232     Fri May  7 19:28 - 21:52  (02:24)
root     pts/0        122.97.179.227   Tue May  4 08:44 - 08:44  (00:00)
root     pts/1        36.59.8.157      Mon May  3 19:47 - 19:48  (00:00)
root     pts/0        36.59.8.157      Mon May  3 19:44 - 21:56  (02:11)
root     pts/0        36.59.8.157      Mon May  3 19:44 - 19:44  (00:00)
root     pts/0        223.240.54.131   Mon May  3 19:43 - 19:43  (00:00)
root     pts/0        36.59.54.237     Mon May  3 19:03 - 19:03  (00:00)
root     pts/0        36.59.54.237     Mon May  3 19:01 - 19:02  (00:00)
root     pts/0        36.59.54.237     Mon May  3 19:00 - 19:01  (00:00)
root     pts/0        36.59.54.237     Mon May  3 18:59 - 19:00  (00:01)
root     pts/0        36.59.54.237     Mon May  3 18:58 - 18:59  (00:00)
root     pts/0        36.59.2.184      Mon May  3 18:56 - 18:57  (00:00)
root     pts/0        36.59.2.184      Mon May  3 18:55 - 18:55  (00:00)
reboot   system boot  4.18.0-240.22.1. Tue May  4 02:53   still running

wtmp begins Tue Apr 20 12:20:55 2021
